rank,name,year,certificate,runtime,genre,rating,story,director,cast,gross
1.,The Shawshank Redemption,(1994),A,142 min,"
Drama            ",9.3,"
    Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler",$28.34M
2.,The Godfather,(1972),A,175 min,"
Crime, Drama            ",9.2,"
    The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.",Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Diane Keaton",$134.97M
3.,The Dark Knight,(2008),UA,152 min,"
Action, Crime, Drama            ",9,"
    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",$534.86M
4.,The Godfather: Part II,(1974),A,202 min,"
Crime, Drama            ",9,"
    The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton",$57.30M
5.,Wheels,(II) (2014),R,115 min,"
Drama            ",8.9,"
    Two suicidal paraplegic junkies hustle their way through the city streets trying to find a reason to live.",Tim Gagliardo,"Donavon Warren, Donavon Warren, Patrick Hume, Diana Gettinger",NaN
6.,The Lord of the Rings: The Return of the King,(2003),U,201 min,"
Action, Adventure, Drama            ",8.9,"
    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.",Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom",$377.85M
7.,Pulp Fiction,(1994),A,154 min,"
Crime, Drama            ",8.9,"
    The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis",$107.93M
8.,Schindler's List,(1993),A,195 min,"
Biography, Drama, History            ",8.9,"
    In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall",$96.90M
9.,12 Angry Men,(1957),96 min,96 min,"
Crime, Drama            ",8.9,"
    A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.",Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler",$4.36M
10.,Hamilton,(2020),12+,160 min,"
Biography, Drama, History            ",8.8,"
    The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry",NaN
11.,Inception,(2010),UA,148 min,"
Action, Adventure, Sci-Fi            ",8.8,"
    A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe",$292.58M
12.,Fight Club,(1999),A,139 min,"
Drama            ",8.8,"
    An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",David Fincher,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier",$37.03M
13.,The Lord of the Rings: The Fellowship of the Ring,(2001),U,178 min,"
Action, Adventure, Drama            ",8.8,"
    A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean",$315.54M
14.,Forrest Gump,(1994),UA,142 min,"
Drama, Romance            ",8.8,"
    The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field",$330.25M
15.,The Lord of the Rings: The Two Towers,(2002),U,179 min,"
Action, Adventure, Drama            ",8.7,"
    While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom",$342.55M
16.,The Matrix,(1999),UA,136 min,"
Action, Sci-Fi            ",8.7,"
    A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.",Lana Wachowski,"Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",$171.48M
17.,Goodfellas,(1990),A,146 min,"
Biography, Crime, Drama            ",8.7,"
    The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",$46.84M
18.,Star Wars: Episode V - The Empire Strikes Back,(1980),U,124 min,"
Action, Adventure, Fantasy            ",8.7,"
    After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",$290.48M
19.,One Flew Over the Cuckoo's Nest,(1975),A,133 min,"
Drama            ",8.7,"
    A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.",Milos Forman,"Jack Nicholson, Louise Fletcher, Will Sampson, Michael Berryman",$112.00M
20.,Interstellar,(2014),UA,169 min,"
Adventure, Drama, Sci-Fi            ",8.6,"
    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy",$188.02M
21.,Saving Private Ryan,(1998),A,169 min,"
Drama, War            ",8.6,"
    Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns",$216.54M
22.,The Green Mile,(1999),UA,189 min,"
Crime, Drama, Fantasy            ",8.6,"
    The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt",$136.80M
23.,Se7en,(1995),A,127 min,"
Crime, Drama, Mystery            ",8.6,"
    Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker",$100.13M
24.,The Silence of the Lambs,(1991),A,118 min,"
Crime, Drama, Thriller            ",8.6,"
    A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme,"Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons",$130.74M
25.,Star Wars,(1977),U,121 min,"
Action, Adventure, Fantasy            ",8.6,"
    Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness",$322.74M
26.,It's a Wonderful Life,(1946),PG,130 min,"
Drama, Family, Fantasy            ",8.6,"
    An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.",Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell",NaN
27.,Joker,(2019),A,122 min,"
Crime, Drama, Thriller            ",8.5,"
    In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",$335.45M
28.,Whiplash,(2014),A,106 min,"
Drama, Music            ",8.5,"
    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser",$13.09M
29.,The Prestige,(2006),PG-13,130 min,"
Drama, Mystery, Sci-Fi            ",8.5,"
    After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine",$53.09M
30.,The Departed,(2006),A,151 min,"
Crime, Drama, Thriller            ",8.5,"
    An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg",$132.38M
31.,Gladiator,(2000),UA,155 min,"
Action, Adventure, Drama            ",8.5,"
    A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed",$187.71M
32.,American History X,(1998),R,119 min,"
Drama            ",8.5,"
    A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.",Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien",$6.72M
33.,The Usual Suspects,(1995),A,106 min,"
Crime, Mystery, Thriller            ",8.5,"
    A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",Bryan Singer,"Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin",$23.34M
34.,Léon,(1994),A,110 min,"
Action, Crime, Drama            ",8.5,"
    Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",$19.50M
35.,The Lion King,(1994),U,88 min,"
Animation, Adventure, Drama            ",8.5,"
    Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Roger Allers,"Rob Minkoff, Matthew Broderick, Jeremy Irons, James Earl Jones",$422.78M
36.,Terminator 2: Judgment Day,(1991),U,137 min,"
Action, Sci-Fi            ",8.5,"
    A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",$204.84M
37.,Back to the Future,(1985),U,116 min,"
Adventure, Comedy, Sci-Fi            ",8.5,"
    Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",$210.61M
38.,Once Upon a Time in the West,(1968),U,165 min,"
Western            ",8.5,"
    A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.",Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards",$5.32M
39.,Psycho,(1960),R,109 min,"
Horror, Mystery, Thriller            ",8.5,"
    A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles, John Gavin",$32.00M
40.,Casablanca,(1942),PG,102 min,"
Drama, Romance, War            ",8.5,"
    A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",$1.02M
41.,Modern Times,(1936),87 min,87 min,"
Comedy, Drama, Family            ",8.5,"
    The Tramp struggles to live in modern industrial society with the help of a young homeless woman.",Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford",$0.16M
42.,City Lights,(1931),G,87 min,"
Comedy, Drama, Romance            ",8.5,"
    With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers",$0.02M
43.,Capharnaüm,(2018),A,126 min,"
Drama            ",8.4,"
    While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Nadine Labaki,"Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole, Kawsar Al Haddad",$1.66M
44.,Spider-Man: Into the Spider-Verse,(2018),U,117 min,"
Animation, Action, Adventure            ",8.4,"
    Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Bob Persichetti,"Peter Ramsey, Rodney Rothman, Shameik Moore, Jake Johnson",$190.24M
45.,Avengers: Endgame,(2019),UA,181 min,"
Action, Adventure, Drama            ",8.4,"
    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Anthony Russo,"Joe Russo, Robert Downey Jr., Chris Evans, Mark Ruffalo",$858.37M
46.,Avengers: Infinity War,(2018),UA,149 min,"
Action, Adventure, Sci-Fi            ",8.4,"
    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",Anthony Russo,"Joe Russo, Robert Downey Jr., Chris Hemsworth, Mark Ruffalo",$678.82M
47.,Coco,(I) (2017),U,105 min,"
Animation, Adventure, Family            ",8.4,"
    Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",Lee Unkrich,"Adrian Molina, Anthony Gonzalez, Gael García Bernal, Benjamin Bratt",$209.73M
48.,Django Unchained,(2012),A,165 min,"
Drama, Western            ",8.4,"
    With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington",$162.81M
49.,The Dark Knight Rises,(2012),UA,164 min,"
Action, Adventure            ",8.4,"
    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",Christopher Nolan,"Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman",$448.14M
50.,WALL·E,(2008),U,98 min,"
Animation, Adventure, Family            ",8.4,"
    In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",$223.81M
51.,Memento,(2000),R,113 min,"
Mystery, Thriller            ",8.4,"
    A man with short-term memory loss attempts to track down his wife's murderer.",Christopher Nolan,"Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior",$25.54M
52.,Once Upon a Time in America,(1984),A,229 min,"
Crime, Drama            ",8.4,"
    A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams",$5.32M
53.,Raiders of the Lost Ark,(1981),U,115 min,"
Action, Adventure            ",8.4,"
    In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",Steven Spielberg,"Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies",$248.16M
54.,The Shining,(1980),A,146 min,"
Drama, Horror            ",8.4,"
    A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stanley Kubrick,"Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers",$44.02M
55.,Lion of the Desert,(1980),173 min,173 min,"
Biography, Drama, History            ",8.4,"
    In 1929, Italian Fascist dictator Benito Mussolini appoints General Rodolfo Graziani as colonial governor to Italian Libya with orders to stamp-out all resistance from Libyan nationalists led by rebel guerrilla leader Omar Mukhtar.",Moustapha Akkad,"Anthony Quinn, Oliver Reed, Rod Steiger, Irene Papas",NaN
56.,Apocalypse Now,(1979),R,147 min,"
Drama, Mystery, War            ",8.4,"
    A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.",Francis Ford Coppola,"Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest",$83.47M
57.,Alien,(1979),A,117 min,"
Horror, Sci-Fi            ",8.4,"
    After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Ridley Scott,"Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright",$78.90M
58.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),A,95 min,"
Comedy            ",8.4,"
    An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.",Stanley Kubrick,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn",$0.28M
59.,Witness for the Prosecution,(1957),116 min,116 min,"
Crime, Drama, Mystery            ",8.4,"
    A veteran British barrister must defend his client in a murder trial that has surprise after surprise.",Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester",$8.18M
60.,Paths of Glory,(1957),88 min,88 min,"
Drama, War            ",8.4,"
    After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick,"Kirk Douglas, Ralph Meeker, Adolphe Menjou, George Macready",NaN
61.,Rear Window,(1954),U,112 min,"
Mystery, Thriller            ",8.4,"
    A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.",Alfred Hitchcock,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter",$36.76M
62.,Sunset Blvd.,(1950),110 min,110 min,"
Drama, Film-Noir            ",8.4,"
    A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.",Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson",NaN
63.,The Great Dictator,(1940),125 min,125 min,"
Comedy, Drama, War            ",8.4,"
    Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.",Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner",$0.29M
64.,1917,(2019),R,119 min,"
Drama, War            ",8.3,"
    April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Sam Mendes,"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",$159.23M
65.,It's Such a Beautiful Day,(2012),62 min,62 min,"
Animation, Comedy, Drama            ",8.3,"
    Bill struggles to put together his shattered psyche, in this new feature film version of Don Hertzfeldt's animated short film trilogy.",Don Hertzfeldt,"NaN, NaN, NaN, NaN",NaN
66.,Toy Story 3,(2010),U,103 min,"
Animation, Adventure, Comedy            ",8.3,"
    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",$415.00M
67.,Inglourious Basterds,(2009),A,153 min,"
Adventure, Drama, War            ",8.3,"
    In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",Quentin Tarantino,"Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent",$120.54M
68.,Eternal Sunshine of the Spotless Mind,(2004),UA,108 min,"
Drama, Romance, Sci-Fi            ",8.3,"
    When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Michel Gondry,"Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne",$34.40M
69.,Snatch,(2000),UA,104 min,"
Comedy, Crime            ",8.3,"
    Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",Guy Ritchie,"Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina",$30.33M
70.,Requiem for a Dream,(2000),A,102 min,"
Drama            ",8.3,"
    The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.",Darren Aronofsky,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans",$3.64M
71.,American Beauty,(1999),A,122 min,"
Drama            ",8.3,"
    A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.",Sam Mendes,"Kevin Spacey, Annette Bening, Thora Birch, Wes Bentley",$130.10M
72.,Good Will Hunting,(1997),U,126 min,"
Drama, Romance            ",8.3,"
    Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",Gus Van Sant,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård",$138.43M
73.,Toy Story,(1995),U,81 min,"
Animation, Adventure, Comedy            ",8.3,"
    A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.",John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",$191.80M
74.,Braveheart,(1995),A,178 min,"
Biography, Drama, History            ",8.3,"
    Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.",Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Angus Macfadyen",$75.60M
75.,Reservoir Dogs,(1992),R,99 min,"
Crime, Drama, Thriller            ",8.3,"
    When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",Quentin Tarantino,"Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn",$2.83M
76.,Full Metal Jacket,(1987),116 min,116 min,"
Drama, War            ",8.3,"
    A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.",Stanley Kubrick,"Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin",$46.36M
77.,Aliens,(1986),A,137 min,"
Action, Adventure, Sci-Fi            ",8.3,"
    Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?",James Cameron,"Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser",$85.16M
78.,Amadeus,(1984),R,160 min,"
Biography, Drama, History            ",8.3,"
    The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",Milos Forman,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",$51.97M
79.,Scarface,(1983),A,170 min,"
Crime, Drama            ",8.3,"
    In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",Brian De Palma,"Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio",$45.60M
80.,Star Wars: Episode VI - Return of the Jedi,(1983),U,131 min,"
Action, Adventure, Fantasy            ",8.3,"
    After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",Richard Marquand,"Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams",$309.13M
81.,Taxi Driver,(1976),A,114 min,"
Crime, Drama            ",8.3,"
    A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",Martin Scorsese,"Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks",$28.26M
82.,The Sting,(1973),129 min,129 min,"
Comedy, Crime, Drama            ",8.3,"
    Two grifters team up to pull off the ultimate con.",George Roy Hill,"Paul Newman, Robert Redford, Robert Shaw, Charles Durning",$159.60M
83.,A Clockwork Orange,(1971),136 min,136 min,"
Crime, Drama, Sci-Fi            ",8.3,"
    In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",$6.21M
84.,2001: A Space Odyssey,(1968),U,149 min,"
Adventure, Sci-Fi            ",8.3,"
    After discovering a mysterious artifact buried beneath the Lunar surface, mankind sets off on a quest to find its origins with help from intelligent supercomputer H.A.L. 9000.",Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter",$56.95M
85.,The Apartment,(1960),125 min,125 min,"
Comedy, Drama, Romance            ",8.3,"
    A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston",$18.60M
86.,North by Northwest,(1959),136 min,136 min,"
Adventure, Mystery, Thriller            ",8.3,"
    A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.",Alfred Hitchcock,"Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis",$13.28M
87.,Vertigo,(1958),PG,128 min,"
Mystery, Romance, Thriller            ",8.3,"
    A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.",Alfred Hitchcock,"James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore",$3.20M
88.,Singin' in the Rain,(1952),G,103 min,"
Comedy, Musical, Romance            ",8.3,"
    A silent film production company and cast make a difficult transition to sound.",Stanley Donen,"Gene Kelly, Gene Kelly, Donald O'Connor, Debbie Reynolds",$8.82M
89.,Double Indemnity,(1944),107 min,107 min,"
Crime, Drama, Film-Noir            ",8.3,"
    An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.",Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Byron Barr",$5.72M
90.,Citizen Kane,(1941),PG,119 min,"
Drama, Mystery            ",8.3,"
    Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",Orson Welles,"Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead",$1.59M
91.,The Kid,(1921),68 min,68 min,"
Comedy, Drama, Family            ",8.3,"
    The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",Charles Chaplin,"Charles Chaplin, Edna Purviance, Jackie Coogan, Carl Miller",$5.45M
92.,Green Book,(2018),UA,130 min,"
Biography, Comedy, Drama            ",8.2,"
    A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.",Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco",$85.08M
93.,"Three Billboards Outside Ebbing, Missouri",(2017),A,115 min,"
Comedy, Crime, Drama            ",8.2,"
    A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.",Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones",$54.51M
94.,Warrior,(2011),UA,140 min,"
Action, Drama, Sport            ",8.2,"
    The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,"Tom Hardy, Nick Nolte, Joel Edgerton, Jennifer Morrison",$13.66M
95.,Shutter Island,(2010),A,138 min,"
Mystery, Thriller            ",8.2,"
    In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo, Ben Kingsley",$128.01M
